experiment_id,experiment_name,status_code,success_variation,start_date,end_date
4743.0,[UG Монетизация] UG Web: landing — change index of local price,2,0,2024-06-10T00:00:00Z,2024-06-10T00:00:00Z
4755.0,[UG Монетизация] UG Web: landing — change index of local price #2,2,0,2024-06-12T00:00:00Z,2024-06-12T00:00:00Z
4803.0,[UG Monetization] UG Web: songbooks – UG Books price increase to MU level,2,0,2024-06-21T00:00:00Z,2024-07-08T00:00:00Z
5238.0,"[UG Monetization] UG App: ""You will lose this feature soon"" popup",2,0,2024-10-07T00:00:00Z,2024-10-10T00:00:00Z
5313.0,[2024-09-20] UG Web: enhancing Songbook upsell via a permanent banner [2024-XX-XX],2,2,2024-10-18T00:00:00Z,2024-10-24T00:00:00Z
5370.0,[UG Monetization] UG App: additional sales through the profile,2,2,2024-10-28T00:00:00Z,2024-11-04T00:00:00Z
5475.0,[UG Monetization] UG App: additional sales through the profile (2 iteration),2,0,2024-11-19T00:00:00Z,2024-11-25T00:00:00Z
6287.0,[UG Monetization] UG Web: Apple Pay for Chrome checkout,2,2,2025-06-27T00:00:00Z,2025-07-14T00:00:00Z
6326.0,[UG Monetization] UG iOS: trial to Instant on internal paywalls,2,2,2025-07-14T00:00:00Z,2025-08-05T00:00:00Z
6553.0,[UG Monetization] UG Web: Upsell cancellation clarity,2,2,2025-09-11T00:00:00Z,2025-10-09T00:00:00Z
6779.0,[UG Monetization] UG MobWeb: Microtransactions fakedoor,2,0,2025-11-19T00:00:00Z,2025-11-20T00:00:00Z
6803.0,[UG Monetization] UG MobWeb: Microtransactions fakedoor (Iteration 2),2,0,2025-11-21T00:00:00Z,2025-11-24T00:00:00Z
6836.0,[UG Monetization] UG MobWeb: Microtransactions fakedoor (Iteration 3) (Relaunch),2,0,2025-12-03T00:00:00Z,2025-12-03T00:00:00Z
7268.0,[UG Monetization] UG Web: paywall – price decrease for pro+,2,2,2026-04-09T00:00:00Z,2026-04-29T00:00:00Z
7502.0,[UG Monetization] UG Web: Three-month / Six month plans,2,0,2026-05-27T00:00:00Z,2026-06-08T00:00:00Z
