experiment_id,event_id,event_dt,attributes_head
4743.0,2,1717770461,"{""experiment_event_start"": ""Landing Plans View""}"
4743.0,5,1717770463,"{""status"": 1, ""date_start"": 1717770463}"
4743.0,2,1717770528,"{""experiment_event_start"": ""App Experiment Start""}"
4743.0,6,1717832619,"{""status"": 2, ""date_end"": 1717832619}"
4743.0,5,1718030103,"{""status"": 1, ""date_start"": 1718030103}"
4743.0,6,1718030982,"{""status"": 2, ""date_end"": 1718030982}"
4755.0,2,1718034857,"{""experiment_event_start"": ""Landing Plans View""}"
4755.0,5,1718034860.0,"{""status"": 1, ""date_start"": 1718034860}"
4755.0,6,1718094467,"{""status"": 2, ""date_end"": 1718094467}"
4755.0,5,1718100511,"{""status"": 1, ""date_start"": 1718100511}"
4755.0,6,1718100977,"{""status"": 2, ""date_end"": 1718100977}"
4755.0,5,1718184083,"{""status"": 1, ""date_start"": 1718184083}"
4755.0,6,1718184749,"{""status"": 2, ""date_end"": 1718184749}"
4803.0,2,1718974467,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}"
4803.0,5,1718974476,"{""status"": 1, ""date_start"": 1718974476}"
4803.0,2,1718978608,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 10"
4803.0,6,1720426550.0,"{""status"": 2, ""date_end"": 1720426550}"
4803.0,2,1721042323,"{""success_variation"": 2}"
4803.0,2,1721982147,"{""success_variation"": 0}"
5238.0,2,1727430780.0,"{""clients_options"": {""UGT_IOS"": [[""version"", ""7.1.4""]], ""UGT_ANDROID"": [[""version"", ""7.1.4""]]}}"
5238.0,2,1728290374,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 10"
5238.0,5,1728290396,"{""status"": 1, ""date_start"": 1728290396}"
5238.0,2,1728301374,"{""configuration"": ""https://alice.mu.se/pages/viewpage.action?pageId=522537317""}"
5238.0,6,1728548868,"{""status"": 2, ""date_end"": 1728548868}"
5238.0,2,1755355137,"{""jira_task"": ""UMN-6215"", ""experiment_event_start"": ""App Experiment Start""}"
5313.0,5,1729239624,"{""status"": 1, ""date_start"": 1729239624}"
5313.0,6,1729758747,"{""status"": 2, ""date_end"": 1729758747}"
5313.0,2,1730716238,"{""success_variation"": 2}"
5370.0,2,1730129931,"{""clients_options"": {""UGT_IOS"": [[""version"", ""7.1.8""]], ""UGT_ANDROID"": [[""version"", ""7.1.11""]]}}"
5370.0,2,1730129937,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 10"
5370.0,5,1730129941,"{""status"": 1, ""date_start"": 1730129941}"
5370.0,6,1730718969,"{""status"": 2, ""date_end"": 1730718969}"
5370.0,2,1730718980.0,"{""success_variation"": 2}"
5475.0,5,1732007822,"{""status"": 1, ""date_start"": 1732007822}"
5475.0,6,1732527576,"{""status"": 2, ""date_end"": 1732527576}"
6287.0,2,1750869345,"{""clients_options"": {""UG_WEB"": [[""platform"", [1]]]}}"
6287.0,5,1751026521,"{""status"": 1, ""date_start"": 1751026521}"
6287.0,2,1752483001,"{""success_variation"": 2}"
6287.0,6,1752483007,"{""status"": 2, ""date_end"": 1752483007}"
6326.0,2,1752481872,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]}"
6326.0,5,1752481879,"{""status"": 1, ""date_start"": 1752481879}"
6326.0,6,1752482990.0,"{""status"": 2, ""date_end"": 1752482990}"
6326.0,5,1752521518,"{""status"": 1, ""date_end"": 0, ""date_start"": 1752521518}"
6326.0,2,1754383808,"{""success_variation"": 2}"
6326.0,6,1754383818,"{""status"": 2, ""date_end"": 1754383818}"
6326.0,2,1754384156,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 10"
6553.0,5,1757513898,"{""status"": 1, ""date_start"": 1757513898}"
6553.0,6,1757534806,"{""status"": 2, ""date_end"": 1757534806}"
6553.0,5,1757586572,"{""status"": 1, ""date_end"": 0, ""date_start"": 1757586572}"
6553.0,2,1758623837,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]}"
6553.0,2,1759939921,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 10"
6553.0,2,1760000158,"{""success_variation"": 2}"
6553.0,6,1760000165,"{""status"": 2, ""date_end"": 1760000165}"
6779.0,2,1763549111,"{""name"": ""[UG Monetization] UG MobWeb: Microtransactions fakedoor"", ""experiment_event_start"": ""Tab View""}"
6779.0,2,1763565170.0,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}"
6779.0,5,1763565185,"{""status"": 1, ""date_start"": 1763565185}"
6779.0,6,1763644213,"{""status"": 2, ""date_end"": 1763644213}"
6803.0,2,1763747090.0,[]
6803.0,5,1763748020.0,"{""status"": 1, ""date_start"": 1763748020}"
6803.0,6,1763988645,"{""status"": 2, ""date_end"": 1763988645}"
6836.0,2,1764675377,"{""slots"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 10"
6836.0,5,1764675401,"{""status"": 1, ""date_start"": 1764675401}"
6836.0,6,1764680222,"{""status"": 2, ""date_end"": 1764680222}"
6836.0,2,1764682558,"{""clients_options"": {""UG_WEB"": [[""platform"", [2]], [""country"", [""BR"", ""RU"", ""MX"", ""TR"", ""ZA"", ""VE"", ""IQ"", ""CH"", ""SA"", ""UA"", ""IL"", ""UZ"", ""UY"", ""EC"", ""AE"", ""KE"", ""MA"", ""PK"", ""JO"", ""CR"", ""RS"", ""KZ"", ""PY"", ""PA"", ""EG"", ""TN"", ""BO"", ""HN"", ""AZ"", ""JM"", ""DZ"", ""GE"", ""SN"", ""BY"", ""AL"", ""KG"", ""BH"", ""GT"", ""QA"", ""DO"", ""BA"", ""CI"", ""MD"", ""AM"", ""TT"", ""LB"", ""PR"", ""ET"", ""OM"", ""SV"", ""MK"", ""NI"", ""CG"", ""KW"", ""NG"", ""RE"", "
6836.0,2,1764682608,[]
6836.0,5,1764684315,"{""status"": 1, ""date_end"": 0, ""date_start"": 1764684315}"
6836.0,6,1764753850.0,"{""status"": 2, ""date_end"": 1764753850}"
6836.0,2,1764753892,"{""clients_options"": {""UG_WEB"": [[""platform"", [2]]]}}"
6836.0,5,1764753902,"{""status"": 1, ""date_end"": 0, ""date_start"": 1764753902}"
6836.0,6,1764782702,"{""status"": 2, ""date_end"": 1764782702}"
7268.0,2,1775749312,"{""slots"": [51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100], ""experiment_event_start"": """"}"
7268.0,2,1775749339,"{""experiment_event_start"": ""Landing Plans View""}"
7268.0,2,1775749555,[]
7268.0,5,1775749558,"{""status"": 1, ""date_start"": 1775749558}"
7268.0,6,1777448633,"{""status"": 2, ""date_end"": 1777448633}"
7268.0,2,1779274136,"{""success_variation"": 2}"
7502.0,2,1779458377,"{""name"": ""[UG Monetization] UG Web: Three-month / Six month plans""}"
7502.0,2,1779895494,"{""slots"": [51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]}"
7502.0,5,1779895560.0,"{""status"": 1, ""date_start"": 1779895560}"
7502.0,2,1780473030.0,"{""variations"": 2}"
7502.0,6,1780911467,"{""status"": 2, ""date_end"": 1780911467}"
7502.0,2,1782137938,"{""configuration"": ""https://alice.mu.se/pages/viewpage.action?pageId=785056492, segments: {'Total': {'pro_rights': 'free'}}""}"
