day,users,organic,referral,paid,fresh_installs
2026-07-16T00:00:00Z,14452,8258,4160,2126,10472
2026-07-17T00:00:00Z,15243,8642,4368,2326,11038
2026-07-18T00:00:00Z,16963,9499,5094,2507,12517
2026-07-19T00:00:00Z,16171,9051,4827,2404,11790
2026-07-20T00:00:00Z,14270,8024,4144,2184,10267
2026-07-21T00:00:00Z,15001,8525,4450,2110,10834
2026-07-22T00:00:00Z,14931,8508,4479,2039,10789
2026-07-23T00:00:00Z,14533,8355,4494,1784,10508
2026-07-24T00:00:00Z,14605,9456,4633,623,10442
2026-07-25T00:00:00Z,16540,9585,5347,1730,11977
2026-07-26T00:00:00Z,16842,9649,5456,1839,12172
