exp_id,exp_name,clients,ab_type,variations,success_variation,status,archive,start_date,end_date,duration_days,jira_task,has_confluence_link,confluence_page_id
6968.0,[UG Monetization] UG iOS: Second Paywall feature flag for iOS,"[""UGT_IOS""]",,2,0,2,1,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,0.0,UMN-9299,0,
6980.0,[UG Monetization] UG App: tour install - add new steps (iteration 5),"[""UGT_ANDROID"", ""UGT_IOS""]",,2,0,2,1,2026-01-21T00:00:00Z,2026-01-30T00:00:00Z,9.0,UMN-10434,1,746551727
6902.0,"[UG Monetization] UG App: explore, sale - Promo block instead of sale banner","[""UGT_ANDROID"", ""UGT_IOS""]",,3,0,2,1,2026-01-27T00:00:00Z,2026-02-02T00:00:00Z,6.0,UMN-9885,1,746543363
6983.0,[UG Monetization] UG Web: permanent banner – short funnel (iteration 1),"[""UG_WEB""]",,3,0,2,1,2026-01-26T00:00:00Z,2026-02-02T00:00:00Z,7.0,UMN-10526,1,754299186
6998.0,[UG Monetization] UG Web: Official Tabs on the artist page,"[""UG_WEB""]",,3,0,2,1,2026-01-29T00:00:00Z,2026-02-02T00:00:00Z,4.0,UMN-9536,1,721559684
7025.0,[UG Monetization] UG Web: landing — change index of local price (relaunch) - 2,"[""UG_WEB""]",,2,0,2,1,2026-02-02T00:00:00Z,2026-02-03T00:00:00Z,1.0,UMN-10416,1,746551149
6953.0,[UG Monetization] UG MobWeb: Survey for UG mobweb users study,"[""UG_WEB""]",,2,0,2,1,2026-02-02T00:00:00Z,2026-02-05T00:00:00Z,3.0,UMN-10484,1,754293018
6959.0,[UG Monetization] UG App: tour – feature tour install,"[""UGT_ANDROID"", ""UGT_IOS""]",,2,0,2,1,2026-01-30T00:00:00Z,2026-02-05T00:00:00Z,6.0,UMN-10402,1,746549176
7001.0,"[UG Monetization] UG Web: the ""emergency help"" funnel - exit-intent offer","[""UG_WEB""]",,2,2,2,0,2026-02-02T00:00:00Z,2026-02-09T00:00:00Z,7.0,UMN-10549,1,746524132
6932.0,[UG Monetization] UG App: weekly plan as primary offer for young users,"[""UGT_ANDROID"", ""UGT_IOS""]",,2,0,2,1,2026-01-27T00:00:00Z,2026-02-11T00:00:00Z,15.0,UMN-10347,1,746541522
7034.0,[UG Monetization] UG App: Remove trial switch,"[""UGT_IOS""]",,2,0,2,1,2026-02-12T00:00:00Z,2026-02-17T00:00:00Z,5.0,UMN-10517,1,761951425
7028.0,[UG Monetization] UG Web: print funnel improvements,"[""UG_WEB""]",,2,2,2,0,2026-02-09T00:00:00Z,2026-02-18T00:00:00Z,9.0,UMN-10646,1,761931427
7037.0,[UG Monetization] UG Web: landing — change index of local price (relaunch) - 3,"[""UG_WEB""]",,2,2,2,0,2026-02-09T00:00:00Z,2026-02-27T00:00:00Z,18.0,UMN-10416,1,746551149
