exp_id,daily_dollar,min_p,clients,tag,exp_name,success_variation,control_rev_per_day,control_members_per_day
6911,46.943884374788766,0.6017870066727986,1,best_pair,[UG Monetization] UG App: tour install - discount for young users (2 iteration),0,560.9196900819883,930.8571428571429
6977,513.6114726420706,0.1048595117542433,1,best_pair,[UG Monetization] UG Android: ProPlus products on Tour Install (3rd iteration),0,3266.018901547742,3802.777777777778
7013,6.078415727806539,0.7172565752426774,1,best_pair,[UG Monetization] UG App: win-back before subscription ends,0,170.98229893755027,178.8148148148148
7022,-286.3300018310547,0.1055506677809274,1,best_pair,"[UG Monetization] UG Web: the ""emergency help"" funnel - with introductory",0,2514.08499956131,1491.5
7043,118.86154291905387,0.4203159174819051,1,best_pair,[UG Monetization] UG App: tour – questions after the paywall in tour,0,1720.833347730761,2517.785714285714
7061,551.1004669744551,0.0877068493406662,1,best_pair,[UG Monetization] UG App: Upsell PDF,0,612.6337689151999,3358.125
7085,165.1039874772782,0.5849680969547164,1,best_pair,[UG Monetization] UG App: explore product widget instead of sale banner,0,3238.5916156704448,6771.200000000001
7100,0.0,0.4431790682380344,2,best_pair,[UG Monetization] UG App: Spotify funnel – value before paywall,0,,
7118,1806.5570087839772,9.389733223377996e-05,1,winner_pair,[UG Monetization] UG iOS: paywall – remove trial activation toggle (2 iteration),3,2610.2586444474746,5126.5
7130,51.749794586640505,0.7883630371826419,1,best_pair,[UG Monetization] UG App: explore product widget instead of sale banner (2 iteration),0,842.5862620240298,1728.0
7133,0.0,0.2348985932024273,1,best_pair,[UG Monetization] UG iOS: paywall - remove trial activation toggle (4-th Iteration),0,,
7142,-50.52427369022684,0.7388953390663148,1,best_pair,[UG Monetization] UG App: Warm-up before 2-nd paywall,0,1152.012005916406,728.0
7160,254.73031119726406,0.3170452253993052,1,best_pair,[UG Monetization] Pre-paywall with animation for interstitials,0,1510.1109656429826,3604.0
7178,0.0,0.5488024999100874,1,best_pair,[UG Monetization] UG Web: Flo like paywall (iteration 5.2),0,,
7187,683.5832484062023,0.000287287910653,1,best_pair,[UG Monetization] Pre-paywall with animation for interstitials (relaunch),0,852.6447133602715,2719.125
7193,-86.87381921046654,0.8618885323765643,1,best_pair,[UG Monetization] UG Web: Single purchase: PDF & Print (fake door),0,734.642493724823,388.25
7199,460.5609768872131,0.3142007828215007,1,winner_pair,[UG Monetization] UG Web: sticky legal text,2,3350.983723163605,279.375
7208,-1066.4231610427264,0.1572910323065902,1,best_pair,[UG Monetization] UG App: tour install – pre-paywall with animation,0,2334.843386060493,1033.6666666666667
7211,-35.208202393305804,0.4967366678738343,1,best_pair,[UG Monetization] UG Android: Trial To Instant High Prices,0,289.1498688700952,49.21052631578947
7220,9.157515017833312,0.8584124853270213,1,best_pair,[UG Monetization] UG Web: improvements to open official tabs: close part of the content,0,48.03750022252401,742.0
7229,472.7543579318846,0.1604812045290898,1,best_pair,[UG Monetization] UG App: explore product widget instead of sale banner (3 iteration - relaunch),0,1382.3058175834901,2472.916666666667
7232,-54.92509996744187,0.8451606276387326,1,best_pair,[UG Monetization] UG Web: Improvements to open official tabs + interactive tabs: increase Print CTR,0,388.2666619618733,8386.666666666666
7235,-2108.7002161179125,0.0001687373084384,1,best_pair,[UG Monetization] UG Web: checkout validation fixes ,0,3805.607973098755,273.2
7238,-43.03053663218621,0.838879843055388,1,best_pair,[UG Monetization] UG Web: permanent banner – short funnel (iteration 2),0,509.16571399143766,476.42857142857144
7241,158.01164674477403,0.1137989089527642,1,winner_pair,[UG Monetization] UG Web: Germany-style cancellation flow for all trial users,2,435.22681218927556,50.54545454545455
7256,91.79593486653475,0.5932058079957647,1,best_pair,[UG Monetization] UG App: first session flow update,0,733.443781047442,1210.8
7265,-184.5308336677298,0.6549078557199423,1,best_pair,[UG Monetization] UG iOS: tour paywall - tour install with 2 paywalls,0,3878.492537804116,1922.125
7268,350.9408999008572,0.2474256109099949,1,winner_pair,[UG Monetization] UG Web: paywall – price decrease for pro+,2,3809.554258028666,3160.2380952380954
7280,115.38945175986944,0.2040444774075012,1,winner_pair,[UG Monetization] UG App: tour install - discount for young users (3 iteration),2,552.2116263901695,854.5333333333333
7289,206.25123431936748,0.2660330944979249,1,best_pair,[UG Monetization] UG App: reduction in advertising volume,0,3883.2700240851864,7878.64705882353
7304,-22.619065882556484,0.9665263952715344,1,best_pair,"[UG Monetization] UG Web: Change the ""emergency help"" funnel - Iteration 5 - decrease display frequency",0,3721.5912151932716,3209.125
7316,51.17073766967139,0.805931261208542,1,best_pair,[UG Monetization] UG App: explore product widget instead of sale banner (4 iteration),0,2197.8892871833405,4535.611111111111
7328,1580.3022754398821,0.0385436554997351,1,winner_pair,[UG Monetization] UG Web: Сheckout size optimization,3,3999.834971189499,353.875
7331,-32.74708013413062,0.6116846780823755,1,best_pair,[UG Monetization] UG Web - text tabs to playable tabs funnel,0,44.992000579833984,533.2
7334,-746.287422911434,0.0625814266281928,1,best_pair,[UG Monetization] UG iOS: tour paywall - tour install with 2 paywalls (2nd Iteration),0,3707.4844961202343,1967.0
7355,154.0238446056925,0.262032010032833,1,best_pair,[UG Monetization] UG App: first session flow update (2 iteration),0,993.3531465429545,1910.4444444444443
7361,292.00310644072897,0.3776988126681174,1,best_pair,[UG Monetization] UG App: winback banner on explore,0,2606.477169650583,3697.222222222222
7379,147.6776275541564,0.5827202768247908,1,best_pair,[UG Monetization] UG App: Upsell – Gear Setup OTP,0,3696.0647481107217,20351.0
7382,164.54125885773854,0.0749107201724758,1,best_pair,[UG Monetization] UG Web: improvements to open official tabs: close part of the content (Iteration 2),0,53.64124941825867,1737.125
7394,27.510467735221813,0.9634039709137688,1,winner_pair,[UG Monetization] UG Web: Fraud protection,2,7053.199951076507,714.4
7430,460.67657311605416,0.3274523606252323,1,winner_pair,[UG Monetization] UG Web: Tour redesign,2,2784.773728132248,8410.625
