exp_id,client,segment,variation,metric,final_value,first_dt,final_dt,days_tracked
6911.0,UGT_IOS,Total,1.0,members,13032.0,2026-03-27,2026-04-09,14
6911.0,UGT_IOS,Total,1.0,revenue,7852.875661147836,2026-03-27,2026-04-09,14
6911.0,UGT_IOS,Total,2.0,members,12921.0,2026-03-27,2026-04-09,14
6911.0,UGT_IOS,Total,2.0,revenue,8113.190578949333,2026-03-27,2026-04-09,14
6977.0,UGT_ANDROID,Paid,1.0,members,9240.0,2026-04-27,2026-05-05,9
6977.0,UGT_ANDROID,Paid,1.0,revenue,11561.543462859954,2026-04-27,2026-05-05,9
6977.0,UGT_ANDROID,Paid,2.0,members,9424.0,2026-04-27,2026-05-05,9
6977.0,UGT_ANDROID,Paid,2.0,revenue,11449.100634032486,2026-04-27,2026-05-05,9
6977.0,UGT_ANDROID,Total,1.0,members,34225.0,2026-04-27,2026-05-05,9
6977.0,UGT_ANDROID,Total,1.0,revenue,29394.17011392968,2026-04-27,2026-05-05,9
6977.0,UGT_ANDROID,Total,2.0,members,34599.0,2026-04-27,2026-05-05,9
6977.0,UGT_ANDROID,Total,2.0,revenue,32039.19164629153,2026-04-27,2026-05-05,9
7013.0,UGT_ANDROID,Total,1.0,members,962.0,2026-02-12,2026-03-10,27
7013.0,UGT_ANDROID,Total,1.0,revenue,964.3420028209686,2026-02-12,2026-03-10,27
7013.0,UGT_ANDROID,Total,2.0,members,961.0,2026-02-12,2026-03-10,27
7013.0,UGT_ANDROID,Total,2.0,revenue,1045.3555084466932,2026-02-12,2026-03-10,27
7013.0,UGT_IOS,Total,1.0,members,3866.0,2026-02-12,2026-03-10,27
7013.0,UGT_IOS,Total,1.0,revenue,3652.1800684928885,2026-02-12,2026-03-10,27
7013.0,UGT_IOS,Total,2.0,members,3754.0,2026-02-12,2026-03-10,27
7013.0,UGT_IOS,Total,2.0,revenue,2407.979046336321,2026-02-12,2026-03-10,27
7022.0,UG_WEB DESKTOP,Total,1.0,members,2956.0,2026-06-18,2026-06-19,2
7022.0,UG_WEB DESKTOP,Total,1.0,revenue,4676.849999427795,2026-06-18,2026-06-19,2
7022.0,UG_WEB DESKTOP,Total,2.0,members,2879.0,2026-06-18,2026-06-19,2
7022.0,UG_WEB DESKTOP,Total,2.0,revenue,3902.7800130844116,2026-06-18,2026-06-19,2
7022.0,UG_WEB MOBWEB,Total,1.0,members,27.0,2026-06-18,2026-06-19,2
7022.0,UG_WEB MOBWEB,Total,1.0,revenue,351.3199996948242,2026-06-18,2026-06-19,2
7022.0,UG_WEB MOBWEB,Total,2.0,members,27.0,2026-06-18,2026-06-19,2
7022.0,UG_WEB MOBWEB,Total,2.0,revenue,64.98999786376953,2026-06-18,2026-06-19,2
7043.0,UGT_ANDROID,Total,1.0,members,17065.0,2026-02-19,2026-03-04,14
7043.0,UGT_ANDROID,Total,1.0,revenue,7390.378324664681,2026-02-19,2026-03-04,14
7043.0,UGT_ANDROID,Total,2.0,members,17641.0,2026-02-19,2026-03-04,14
7043.0,UGT_ANDROID,Total,2.0,revenue,8201.12261311028,2026-02-19,2026-03-04,14
